"Cestnoprometne nesreèe in udeleženci v nesreèah po vrsti ceste, Slovenija, 2003 - 2014"

"VRSTA CESTE","2007 Prometne nesreèe - SKUPAJ","2007 Prometne nesreèe s smrtnim izidom","2007 Prometne nesreèe s telesno poškodbo","2007 Prometne nesreèe z materialno škodo","2007 Število udeležencev - SKUPAJ","2007 Število udeležencev - mrtvi","2007 Število udeležencev s hudo telesno poškodbo","2007 Število udeležencev z lahko telesno poškodbo","2007 Število udeležencev brez poškodbe","2008 Prometne nesreèe - SKUPAJ","2008 Prometne nesreèe s smrtnim izidom","2008 Prometne nesreèe s telesno poškodbo","2008 Prometne nesreèe z materialno škodo","2008 Število udeležencev - SKUPAJ","2008 Število udeležencev - mrtvi","2008 Število udeležencev s hudo telesno poškodbo","2008 Število udeležencev z lahko telesno poškodbo","2008 Število udeležencev brez poškodbe","2009 Prometne nesreèe - SKUPAJ","2009 Prometne nesreèe s smrtnim izidom","2009 Prometne nesreèe s telesno poškodbo","2009 Prometne nesreèe z materialno škodo","2009 Število udeležencev - SKUPAJ","2009 Število udeležencev - mrtvi","2009 Število udeležencev s hudo telesno poškodbo","2009 Število udeležencev z lahko telesno poškodbo","2009 Število udeležencev brez poškodbe","2010 Prometne nesreèe - SKUPAJ","2010 Prometne nesreèe s smrtnim izidom","2010 Prometne nesreèe s telesno poškodbo","2010 Prometne nesreèe z materialno škodo","2010 Število udeležencev - SKUPAJ","2010 Število udeležencev - mrtvi","2010 Število udeležencev s hudo telesno poškodbo","2010 Število udeležencev z lahko telesno poškodbo","2010 Število udeležencev brez poškodbe","2011 Prometne nesreèe - SKUPAJ","2011 Prometne nesreèe s smrtnim izidom","2011 Prometne nesreèe s telesno poškodbo","2011 Prometne nesreèe z materialno škodo","2011 Število udeležencev - SKUPAJ","2011 Število udeležencev - mrtvi","2011 Število udeležencev s hudo telesno poškodbo","2011 Število udeležencev z lahko telesno poškodbo","2011 Število udeležencev brez poškodbe","2012 Prometne nesreèe - SKUPAJ","2012 Prometne nesreèe s smrtnim izidom","2012 Prometne nesreèe s telesno poškodbo","2012 Prometne nesreèe z materialno škodo","2012 Število udeležencev - SKUPAJ","2012 Število udeležencev - mrtvi","2012 Število udeležencev s hudo telesno poškodbo","2012 Število udeležencev z lahko telesno poškodbo","2012 Število udeležencev brez poškodbe","2013 Prometne nesreèe - SKUPAJ","2013 Prometne nesreèe s smrtnim izidom","2013 Prometne nesreèe s telesno poškodbo","2013 Prometne nesreèe z materialno škodo","2013 Število udeležencev - SKUPAJ","2013 Število udeležencev - mrtvi","2013 Število udeležencev s hudo telesno poškodbo","2013 Število udeležencev z lahko telesno poškodbo","2013 Število udeležencev brez poškodbe","2014 Prometne nesreèe - SKUPAJ","2014 Prometne nesreèe s smrtnim izidom","2014 Prometne nesreèe s telesno poškodbo","2014 Prometne nesreèe z materialno škodo","2014 Število udeležencev - SKUPAJ","2014 Število udeležencev - mrtvi","2014 Število udeležencev s hudo telesno poškodbo","2014 Število udeležencev z lahko telesno poškodbo","2014 Število udeležencev brez poškodbe"
"Vrsta ceste - SKUPAJ",30401,263,11151,18987,58959,293,1263,14774,42629,22783,200,8738,13845,44139,214,1068,11341,31516,20597,154,8435,12008,39604,171,1032,11082,27319,21347,127,7433,13787,40348,138,865,9451,29894,22913,129,7089,15695,42105,141,919,8754,32291,22035,122,6742,15171,39971,130,848,8300,30693,18904,116,6426,12362,34481,125,708,8034,25614,18251,97,6167,11987,33253,108,826,7394,24925
"Avtoceste",1757,23,447,1287,3488,30,54,712,2692,1519,9,386,1124,3090,9,50,565,2466,1503,15,475,1013,3025,20,55,725,2225,2290,13,468,1809,4270,18,58,670,3524,2077,13,425,1639,3982,16,60,647,3259,2052,18,423,1611,3760,20,59,632,3049,2040,14,419,1607,3708,16,44,568,3080,1820,11,360,1449,3406,16,51,548,2791
"Hitre in glavne ceste I., II. reda",3974,53,1489,2432,8287,58,203,2199,5827,3042,48,1179,1815,6309,56,173,1711,4369,2384,28,1020,1336,4891,35,163,1423,3270,2027,16,810,1201,4042,18,98,1161,2765,1866,27,693,1146,3656,29,114,983,2530,1871,18,625,1228,3592,23,89,849,2631,1657,14,675,968,3228,14,72,969,2173,1589,13,633,943,3033,14,97,857,2065
"Turistiène, reg. ceste I., II., III. reda",4903,89,2211,2603,9318,98,314,2987,5919,3534,69,1744,1721,6702,75,271,2284,4072,3213,44,1651,1518,6105,45,218,2209,3633,3172,38,1451,1683,5968,39,215,1849,3865,3395,42,1378,1975,5974,47,231,1670,4026,3486,40,1373,2073,6104,40,210,1748,4106,2645,37,1212,1396,4784,41,200,1485,3058,2573,32,1154,1387,4630,34,200,1403,2993
"Lokalne ceste",1404,25,644,735,2333,27,93,754,1459,925,16,473,436,1572,16,86,547,923,892,13,479,400,1504,14,77,592,821,778,11,380,387,1301,11,66,423,801,969,5,411,553,1509,7,69,492,941,878,10,336,532,1296,10,59,378,849,630,8,297,325,1012,8,47,353,604,595,9,292,294,930,9,60,300,561
"Naselje z uliènim sistemom",14380,37,4763,9580,28394,40,425,6143,21786,10870,31,3751,7088,21300,31,309,4818,16142,9882,29,3636,6217,19258,31,348,4697,14182,10227,33,3260,6934,19768,34,286,4084,15364,11531,20,3122,8389,21747,20,300,3733,17694,10624,17,2982,7625,20002,18,300,3550,16134,9219,25,2822,6372,17225,28,212,3515,13470,8963,19,2719,6225,16692,20,286,3140,13246
"Naselje brez uliènega sistema",3983,36,1597,2350,7139,40,174,1979,4946,2893,27,1205,1661,5166,27,179,1416,3544,2723,25,1174,1524,4821,26,171,1436,3188,2853,16,1064,1773,4999,18,142,1264,3575,3075,22,1060,1993,5237,22,145,1229,3841,3124,19,1003,2102,5217,19,131,1143,3924,2713,18,1001,1694,4524,18,133,1144,3229,2711,13,1009,1689,4562,15,132,1146,3269
