"Cestna vozila konec leta (31.12.) glede na vrsto vozila in obèino, Slovenija, letno"

"OBÈINE","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Kanal",3882,4004,4077,4073,4115,4065,4074,4076,4089,4133,4328,4456,4545,4602
"Kidrièevo",4559,4763,4866,4870,5004,5021,5078,5195,5285,5358,5509,5683,5757,5791
"Kobarid",2709,2808,2872,2897,2923,2934,2937,2948,2940,2994,3062,3211,3258,3312
"Kobilje",389,399,400,401,402,420,415,423,435,438,443,459,468,467
"Koèevje",8864,9249,9312,9348,9412,9330,9259,9295,9325,9514,9879,10196,10450,10525
"Komen",2979,3031,3123,3141,3189,3227,3286,3326,3312,3360,3536,3619,3664,3677
"Komenda",3596,3812,3926,4035,4182,4259,4309,4412,4631,4762,4965,5235,5522,5651
"Koper/Capodistria",36040,37725,38161,38499,38887,38506,38578,38940,37508,38331,40309,41687,42552,42312
"Kostanjevica na Krki",374,794,1141,1393,1641,1902,1959,1978,2002,2036,2114,2185,2214,2273
"Kostel",399,423,429,426,432,438,447,446,426,451,448,480,481,490
"Kozje",2244,2383,2432,2496,2530,2587,2651,2651,2708,2803,2861,2890,2958,2924
"Kranj",32487,33756,34402,34646,34985,34791,34686,35073,35861,36592,37714,38174,38979,39447
"Kranjska Gora",3397,3530,3637,3675,3707,3684,3668,3703,3684,3792,3887,3984,4037,4079
"Križevci",2534,2616,2663,2679,2720,2773,2756,2816,2807,2893,3018,3099,3148,3170
"Krško",18500,19046,19221,19217,19145,19072,19220,19415,19596,20107,20819,21549,22165,22245
"Kungota",3012,3136,3183,3198,3286,3285,3375,3419,3475,3544,3629,3712,3783,3813
"Kuzma",1039,1090,1117,1137,1164,1169,1194,1212,1219,1233,1272,1328,1342,1351
"Laško",8750,9085,9294,9356,9474,9458,9503,9594,9580,9817,10163,10478,10825,10886
"Lenart",7341,6860,6380,6009,5737,5527,5514,5605,5840,5974,6181,6334,6534,6574
"Lendava/Lendva",7080,7276,7325,7413,7432,7367,7344,7363,7417,7515,7790,7964,8114,8197
"Litija",8694,8991,9278,9432,9590,9756,9872,10017,10236,10479,10853,11189,11546,11672
"Ljubljana",170411,176230,177378,175833,174099,173574,172173,172489,178547,182643,189215,191288,195980,194895
"Ljubno",1743,1813,1846,1932,1993,2019,2054,2085,2131,2202,2259,2331,2391,2405
"Ljutomer",7913,8255,8339,8438,8484,8517,8416,8565,8672,8889,9366,9657,9859,9907
"Log - Dragomer",544,1147,1603,2076,2309,2471,2471,2513,2548,2586,2623,2661,2723,2750
"Logatec",7910,8376,8706,8779,8909,9019,9093,9237,9551,9813,10169,10656,11006,11080
"Loška dolina",2581,2683,2801,2822,2846,2860,2885,2929,2991,3045,3103,3208,3279,3260
"Loški Potok",1350,1389,1470,1493,1500,1500,1495,1522,1540,1573,1609,1620,1650,1649
"Lovrenc na Pohorju",1821,1906,1949,1948,1947,1964,1974,1988,2027,2070,2138,2153,2214,2228
"Luèe",922,950,991,1034,1062,1087,1112,1108,1116,1159,1187,1241,1255,1241
"Lukovica",3629,3868,3961,4037,4111,4191,4291,4388,4504,4552,4789,4924,5046,5111
"Majšperk",2763,2878,2940,2928,2987,3036,3038,3055,3081,3114,3249,3362,3446,3441
"Makole",229,540,783,1006,1246,1393,1446,1489,1521,1560,1635,1710,1785,1758
"Maribor",63618,66049,65837,65201,64585,64009,63230,63697,65499,66664,68582,69463,70941,71563
"Markovci",2555,2689,2763,2822,2869,2883,2930,2988,3028,3123,3228,3319,3423,3408
"Medvode",9582,9987,10231,10322,10430,10541,10550,10704,10766,10976,11345,11616,11811,11897
"Mengeš",4360,4616,4787,4803,4809,4824,4804,4897,5128,5320,5604,5891,6030,6300
"Metlika",5392,5747,5844,5948,6076,6162,6203,6279,6316,6444,6634,6918,7155,7185
"Mežica",1891,1967,2007,2042,2047,2080,2065,2110,2130,2170,2179,2271,2338,2339
"Miklavž na Dravskem polju",4078,4213,4293,4303,4387,4363,4370,4454,4522,4644,4755,4910,5074,5086
"Miren - Kostanjevica",3740,3831,3877,3855,3902,3927,3964,4023,3926,3992,4172,4271,4323,4323
"Mirna",-,-,-,-,-,1144,1564,1835,1929,1973,2072,2163,2229,2228
"Mirna Peè",1874,1995,2037,2096,2145,2213,2271,2324,2351,2422,2521,2609,2631,2693
"Mislinja",2821,2981,3042,3051,3108,3144,3155,3201,3215,3316,3446,3605,3678,3787
"Mokronog - Trebelno",392,946,1500,1895,2179,2402,2471,2547,2619,2657,2752,2883,2953,2992
"Moravèe",3004,3173,3303,3365,3464,3620,3689,3839,3907,4024,4155,4324,4438,4488
"Moravske Toplice",4482,4592,4659,4676,4765,4810,4835,4926,4970,5008,5154,5311,5491,5521
"Mozirje",3979,3755,3504,3283,3111,3021,2977,2971,2909,2983,3112,3268,3377,3431
"Murska Sobota",11965,12203,12344,12479,12548,12519,12382,12376,12491,12641,13121,13493,13795,13822
"Muta",2197,2306,2340,2346,2379,2376,2384,2395,2407,2476,2583,2665,2768,2793
"Naklo",3899,4061,4058,3944,3934,3927,3972,4057,4080,4217,4358,4428,4455,4525
"Nazarje",1640,1688,1701,1824,1858,1856,1925,1950,1978,2025,2135,2304,2366,2413
"Nova Gorica",26233,26369,26096,25410,24841,24301,23996,24153,24390,24915,25765,26198,26470,26560
"Novo mesto",26659,26601,26090,25663,25485,25307,25177,25398,25867,26417,27398,28479,29288,29457
"Odranci",1064,1081,1113,1113,1123,1113,1127,1125,1138,1164,1202,1222,1227,1229
"Oplotnica",2528,2682,2787,2857,2913,2934,2988,3085,3150,3248,3400,3539,3640,3603
"Ormož",10674,10624,10446,10169,9822,9502,9352,9358,9554,9725,10139,10484,10674,10708
"Osilnica",209,217,231,244,241,235,231,227,216,218,231,264,258,260
"Pesnica",4893,5096,5228,5283,5289,5356,5372,5424,5504,5561,5738,5772,6179,6269
"Piran/Pirano",11320,11701,11930,11903,11825,11873,11791,11822,11912,12069,12770,13034,13251,13256
"Pivka",4392,4488,4618,4716,4774,4858,4858,4996,5117,5253,5442,5738,5870,5899
"Podèetrtek",2293,2413,2483,2525,2605,2697,2765,2842,2919,3046,3159,3234,3324,3382
"Podlehnik",1267,1303,1338,1369,1361,1378,1391,1404,1421,1486,1517,1556,1608,1623
"Podvelka",1579,1650,1681,1693,1679,1667,1678,1687,1711,1740,1829,1882,1944,1969
"Poljèane",530,1173,1677,2089,2460,2702,2787,2854,2914,2993,3073,3157,3257,3275
"Polzela",3264,3513,3628,3722,3746,3838,3882,3985,4024,4241,4531,4589,4781,4857
"Postojna",9675,10124,10407,10590,10755,10900,10992,11117,11313,11750,11978,12409,12826,12858
"Prebold",2893,3039,3213,3289,3333,3380,3363,3368,3446,3517,3660,3738,3835,3899
"Preddvor",2160,2250,2276,2354,2360,2398,2424,2456,2500,2537,2599,2735,2816,2879
"Prevalje",3629,3869,3963,4005,4117,4139,4243,4268,4320,4329,4388,4555,4676,4742
"Ptuj",14815,15472,15524,15543,15632,15626,15780,15968,16376,16702,17313,17820,18381,18508
"Puconci",4454,4646,4747,4802,4889,4948,4978,5045,5126,5224,5390,5514,5613,5582
"Raèe - Fram",4336,4572,4686,4765,4828,4901,4969,5092,5155,5269,5507,5798,6008,6092
"Radeèe",2750,2873,2924,2943,2953,2925,2898,2906,2925,2963,3039,3127,3190,3175
"Radenci",3497,3630,3640,3622,3641,3607,3631,3707,3747,3850,3958,4048,4143,4145
"Radlje ob Dravi",3672,3855,3955,3983,4074,4141,4154,4214,4287,4358,4489,4588,4708,4731
"Radovljica",11256,11685,11999,12160,12306,12332,12404,12533,12759,12924,13383,13782,13982,14148
"Ravne na Koroškem",6506,6801,6890,6930,6998,6969,6965,6989,7029,7212,7378,7675,7770,7862
"Razkrižje",844,880,912,915,925,924,937,955,985,1007,1023,1022,1052,1050
"Reèica ob Savinji",361,804,1146,1429,1686,1883,1992,2078,2090,2173,2280,2257,2343,2367
"Renèe - Vogrsko",546,1212,1788,2470,3050,3472,3565,3618,3614,3640,3807,3925,3976,3983
"Ribnica",6303,6638,6768,6887,7033,7166,7259,7369,7562,7788,8079,8332,8501,8552
"Ribnica na Pohorju",701,755,775,793,820,812,823,835,848,866,893,894,902,918
"Rogaška Slatina",6711,7136,7302,7417,7448,7562,7663,7845,7975,8264,8765,9177,9491,9532
"Rogašovci",2279,2360,2372,2418,2471,2497,2513,2535,2587,2637,2667,2753,2831,2772
"Rogatec",1746,1811,1852,1889,1936,1929,1983,1999,2061,2170,2247,2285,2335,2407
"Ruše",4193,4293,4406,4410,4377,4364,4360,4378,4376,4448,4576,4654,4744,4778
"Selnica ob Dravi",2879,2992,3054,3071,3098,3127,3141,3166,3216,3280,3339,3489,3545,3565
"Semiè",2442,2556,2667,2672,2709,2751,2791,2857,2867,2922,3089,3233,3267,3352
"Sevnica",11527,12223,12622,12724,12860,12966,13074,13260,13456,13753,14229,14690,15081,15161
"Sežana",9650,10093,10276,10379,10472,10403,10426,10571,10877,11160,11662,11997,12140,12241
"Slovenj Gradec",10484,10966,11093,11236,11420,11619,11777,11925,12063,12368,12879,13362,13574,13695
"Slovenska Bistrica",18342,18425,18155,17814,17664,17464,17448,17665,17902,18291,19307,19946,20628,20858
"Slovenske Konjice",9013,9575,9651,9758,9875,10007,10054,10390,10718,11144,11757,12267,12667,12777
"Sodražica",1491,1565,1596,1616,1653,1662,1712,1742,1768,1778,1818,1908,1927,1943
"Solèava",347,362,365,367,379,385,395,398,400,412,425,449,469,478
"Središèe ob Dravi",259,553,793,1015,1230,1420,1566,1639,1603,1618,1689,1728,1747,1714
"Starše",2726,2796,2870,2903,2932,2942,2923,2953,2999,3073,3154,3216,3303,3303
"Straža",500,1094,1595,2005,2379,2600,2712,2766,2851,2974,3128,3258,3339,3338
"Sveta Ana",1572,1628,1667,1677,1689,1738,1749,1767,1767,1847,1906,1988,2061,2103
"Sveta Trojica v Slov. goricah",340,755,1137,1359,1537,1700,1723,1754,1739,1793,1871,1955,1998,2026
"Sveti Andraž v Slov. goricah",790,825,859,881,919,960,973,976,976,1014,1043,1111,1130,1127
"Sveti Jurij ob Šèavnici",2202,2323,2373,2409,2473,2521,2556,2560,2592,2607,2685,2747,2790,2763
"Sveti Jurij v Slov. goricah",300,682,1029,1245,1433,1539,1605,1633,1664,1665,1714,1761,1800,1851
"Sveti Tomaž",252,582,788,1032,1248,1466,1631,1700,1720,1741,1813,1895,1944,1977
"Šalovci",1205,1220,1245,1264,1300,1307,1328,1328,1357,1352,1392,1429,1453,1488
"Šempeter - Vrtojba",5027,5155,5098,5116,5112,5063,5064,5082,5255,5423,5626,5799,5853,5898
"Šenèur",5894,6292,6458,6550,6711,6722,6752,6818,6986,7196,7470,7711,7897,8005
"Šentilj",5070,5265,5464,5490,5523,5630,5629,5691,5851,5936,6075,6138,6269,6303
"Šentjernej",4764,4995,5101,5198,5424,5604,5710,5868,5884,6008,6184,6405,6557,6643
"Šentjur",12184,12772,13009,13291,13494,13797,13958,14178,14363,14786,15430,16082,16444,16610
"Šentrupert",313,780,1205,1583,1768,1915,1942,1967,2057,2113,2214,2271,2356,2392
"Škocjan",2437,2538,2641,2673,2721,2770,2789,2838,2873,2941,3041,3178,3370,3451
"Škofja Loka",13378,13842,13898,14047,14170,14293,14416,14586,14896,15117,15531,15826,16049,16127
"Škofljica",5509,5815,6064,6200,6450,6662,6630,6799,6984,7223,7546,7757,8074,8036
"Šmarje pri Jelšah",6438,6731,6912,7042,7287,7388,7545,7678,7956,8180,8470,8800,9042,9196
"Šmarješke Toplice",464,1109,1565,1938,2169,2445,2520,2602,2686,2754,2883,3013,3132,3261
"Šmartno ob Paki",1871,1957,2022,2066,2106,2175,2245,2272,2289,2366,2454,2549,2634,2676
"Šmartno pri Litiji",3455,3625,3727,3792,3886,3917,3971,4008,4112,4286,4413,4545,4662,4731
"Šoštanj",5089,5377,5501,5640,5727,5830,5793,5840,5887,5999,6272,6606,6728,6744
"Štore",2450,2608,2591,2666,2733,2720,2712,2757,2841,2858,2991,3231,3369,3341
"Tabor",1002,1057,1093,1143,1150,1190,1198,1231,1247,1280,1340,1428,1468,1473
"Tišina",2795,2948,3038,3041,3088,3136,3127,3136,3166,3186,3311,3409,3465,3446
"Tolmin",7707,7991,8097,8181,8289,8292,8265,8349,8363,8552,8839,9065,9224,9240
"Trbovlje",9038,9443,9552,9336,9208,9192,9069,9055,9063,9179,9500,9813,9976,10116
"Trebnje",13728,13771,13062,12443,11968,10675,10347,10253,10476,10821,11312,11632,11920,12142
"Trnovska vas",875,930,975,982,1011,1020,1033,1056,1084,1121,1168,1222,1258,1252
"Trzin",3611,3795,3687,3791,3762,3698,3710,3880,4104,3761,3858,3995,4130,3973
"Tržiè",8961,9308,9548,9471,9543,9563,9600,9730,9779,9952,10225,10610,10834,10909
"Turnišèe",2012,2118,2166,2224,2274,2275,2289,2300,2334,2348,2445,2525,2579,2592
"Velenje",18457,19343,19407,19192,19210,19238,19095,18980,18993,19309,20099,20844,21357,21608
"Velika Polana",1063,1093,1128,1134,1139,1161,1180,1220,1224,1237,1278,1322,1353,1328
"Velike Lašèe",2774,2939,3022,3043,3119,3144,3183,3242,3314,3419,3557,3642,3713,3726
"Veržej",948,967,968,972,995,983,990,1009,1021,1066,1114,1142,1177,1187
"Videm",3557,3726,3831,3940,4032,4085,4111,4175,4183,4270,4462,4588,4733,4746
"Vipava",4134,4281,4419,4444,4497,4519,4570,4629,4688,4766,4927,5109,5196,5302
"Vitanje",1360,1436,1501,1524,1564,1571,1591,1599,1627,1704,1795,1854,1881,1916
"Vodice",3115,3284,3449,3482,3597,3696,3757,3794,3853,3961,4160,4250,4358,4440
"Vojnik",5185,5473,5709,5855,5942,6112,6217,6372,6426,6572,6966,7329,7563,7621
"Vransko",1635,1751,1816,1840,1860,1945,1806,1863,1913,1991,2096,2182,2260,2340
"Vrhnika",11503,11465,11352,11089,11061,11204,11213,11237,11405,11624,12033,12483,12918,13051
"Vuzenica",1672,1720,1756,1791,1808,1833,1828,1880,1894,1937,1984,2080,2144,2198
"Zagorje ob Savi",9426,9874,10062,10192,10254,10300,10271,10430,10516,10758,10999,11349,11588,11738
"Zavrè",864,957,957,957,1024,1026,1087,1102,1127,1156,1191,1164,1198,1184
"Zreèe",4163,4352,4471,4538,4642,4708,4754,4852,4993,5135,5369,5520,5683,5811
"Žalec",13364,14066,14387,14629,14746,14794,14764,15070,15241,15631,16429,17050,17523,17734
"Železniki",3992,4172,4233,4321,4401,4475,4507,4566,4617,4719,4798,4959,5095,5088
"Žetale",852,915,955,945,967,992,1015,1047,1060,1051,1112,1125,1155,1149
"Žiri",3025,3167,3216,3297,3328,3317,3356,3425,3477,3580,3647,3781,3872,3881
"Žirovnica",2754,2891,2953,3027,3060,3078,3064,3125,3147,3193,3267,3388,3473,3515
"Žužemberk",2925,3096,3174,3274,3395,3530,3574,3643,3746,3895,4006,4110,4220,4244
